37.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
14:40:31.0 (87987)|USER_INFO|[EXTERNAL]|00557000005jeEC|p7s1.bschneider@factory42.com.kam|Mitteleuropäische Normalzeit|GMT+02:00
14:40:31.0 (127727)|EXECUTION_STARTED
14:40:31.0 (134675)|CODE_UNIT_STARTED|[EXTERNAL]|01p3E0000004a8n|Som_Kam_CmpCtrl.saveAccountPlan
14:40:31.0 (1097453)|HEAP_ALLOCATE|[72]|Bytes:3
14:40:31.0 (1171804)|HEAP_ALLOCATE|[77]|Bytes:152
14:40:31.0 (1197431)|HEAP_ALLOCATE|[342]|Bytes:408
14:40:31.0 (1217175)|HEAP_ALLOCATE|[355]|Bytes:408
14:40:31.0 (1235943)|HEAP_ALLOCATE|[467]|Bytes:48
14:40:31.0 (1271483)|HEAP_ALLOCATE|[139]|Bytes:6
14:40:31.0 (1296578)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:89
14:40:31.0 (1301730)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:71
14:40:31.0 (1304202)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:35
14:40:31.0 (1315372)|METHOD_ENTRY|[14]|01p3E0000004a8n|Som_Kam_CmpCtrl.Som_Kam_CmpCtrl()
14:40:31.0 (1319552)|STATEMENT_EXECUTE|[14]
14:40:31.0 (1325324)|STATEMENT_EXECUTE|[14]
14:40:31.0 (1360169)|HEAP_ALLOCATE|[50]|Bytes:5
14:40:31.0 (1385987)|HEAP_ALLOCATE|[56]|Bytes:5
14:40:31.0 (1394954)|HEAP_ALLOCATE|[64]|Bytes:7
14:40:31.0 (1419300)|SYSTEM_MODE_ENTER|true
14:40:31.0 (1435394)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
14:40:31.0 (1440027)|STATEMENT_EXECUTE|[932]
14:40:31.0 (1441762)|STATEMENT_EXECUTE|[953]
14:40:31.0 (1442897)|STATEMENT_EXECUTE|[975]
14:40:31.0 (1444045)|STATEMENT_EXECUTE|[1021]
14:40:31.0 (1445334)|STATEMENT_EXECUTE|[1054]
14:40:31.0 (1452238)|SYSTEM_MODE_EXIT|true
14:40:31.0 (1461914)|METHOD_EXIT|[14]|Som_Kam_CmpCtrl
14:40:31.0 (1474387)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:24
14:40:31.0 (1502359)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
14:40:31.0 (1508714)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
14:40:31.0 (1512717)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:40:31.0 (1516389)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:40:31.0 (1520554)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:32
14:40:31.0 (1524318)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:52
14:40:31.0 (1533408)|SYSTEM_MODE_ENTER|false
14:40:31.0 (1546214)|VARIABLE_SCOPE_BEGIN|[701]|accPlan|Som_Kam__c|true|false
14:40:31.0 (1610317)|VARIABLE_ASSIGNMENT|[701]|accPlan|{"Som_EmailText__c":"Test E-Mail an RH (T (13 more) ...","Som_Year__c":2016,"Id":"a093E000000sCLFQA2","Som_Account__c":"0013E000006KJGeQAO","Som_Kickoff__c":"2016-07-31T00:00:00.000Z"}|0x293810c2
14:40:31.0 (1618661)|VARIABLE_SCOPE_BEGIN|[701]|accPlanDetailsUpsert|List<Som_KamDetail__c>|true|false
14:40:31.0 (1641996)|VARIABLE_ASSIGNMENT|[701]|accPlanDetailsUpsert|{"s":1,"v":[{"Som_KamTeamMember__c":"00557000005jeDxAAI","Som_KamTeam__c":"a1P3E0000008iD5UAI","Id":"a2U3E0000004ff9UAA","Som_Kam__c":"a093E000000sCLFQA2"}]}|0x1f82d2ce
14:40:31.0 (1647355)|VARIABLE_SCOPE_BEGIN|[701]|accPlanDetailsDelete|List<Som_KamDetail__c>|true|false
14:40:31.0 (1656410)|VARIABLE_ASSIGNMENT|[701]|accPlanDetailsDelete|{"s":1,"v":[{"Id":"a2U3E0000004ff4UAA"}]}|0x1cf6b3e3
14:40:31.0 (1660605)|VARIABLE_SCOPE_BEGIN|[701]|accPlanDetailCashInsUpsert|List<Som_KamDetailCashIn__c>|true|false
14:40:31.0 (1667298)|VARIABLE_ASSIGNMENT|[701]|accPlanDetailCashInsUpsert|{"s":1,"v":[]}|0x4c5da41f
14:40:31.0 (1670955)|VARIABLE_SCOPE_BEGIN|[701]|accPlanDetailCashInsDelete|List<Som_KamDetailCashIn__c>|true|false
14:40:31.0 (1677162)|VARIABLE_ASSIGNMENT|[701]|accPlanDetailCashInsDelete|{"s":1,"v":[]}|0x258a1356
14:40:31.0 (1680561)|VARIABLE_SCOPE_BEGIN|[701]|accPlanStrategies|List<Som_KamStrategyProfileTopic__c>|true|false
14:40:31.0 (1689804)|VARIABLE_ASSIGNMENT|[701]|accPlanStrategies|{"s":1,"v":"List of size 7 too large to display"}|0x2c17a18b
14:40:31.0 (1693453)|VARIABLE_SCOPE_BEGIN|[701]|accPlanDetailStrategies|List<Som_KamStrategyProfileTopic__c>|true|false
14:40:31.0 (1700595)|VARIABLE_ASSIGNMENT|[701]|accPlanDetailStrategies|{"s":1,"v":"List of size 12 too large to display"}|0x5d77641
14:40:31.0 (1717413)|SYSTEM_MODE_ENTER|true
14:40:31.0 (1722705)|HEAP_ALLOCATE|[710]|Bytes:5
14:40:31.0 (1727576)|STATEMENT_EXECUTE|[709]
14:40:31.0 (1728934)|STATEMENT_EXECUTE|[710]
14:40:31.0 (1734997)|VARIABLE_SCOPE_BEGIN|[710]|resp|P7S1_ApexResponse|true|false
14:40:31.0 (1740086)|VARIABLE_ASSIGNMENT|[710]|resp|null|
14:40:31.0 (1742169)|STATEMENT_EXECUTE|[711]
14:40:31.0 (2097633)|SAVEPOINT_SET|[711]|SavepointValue0
14:40:31.0 (2114164)|HEAP_ALLOCATE|[711]|Bytes:16
14:40:31.0 (2128438)|VARIABLE_SCOPE_BEGIN|[711]|sp|System.Savepoint|true|false
14:40:31.0 (2219266)|VARIABLE_ASSIGNMENT|[711]|sp|"common.apex.runtime.impl.ApexUserSavepoint@240b57b8"|0x240b57b8
14:40:31.0 (2224644)|STATEMENT_EXECUTE|[713]
14:40:31.0 (2225835)|STATEMENT_EXECUTE|[713]
14:40:31.0 (2226959)|STATEMENT_EXECUTE|[714]
14:40:31.0 (2271864)|VARIABLE_SCOPE_BEGIN|[714]|isNew|Boolean|false|false
14:40:31.0 (2278791)|HEAP_ALLOCATE|[714]|Bytes:5
14:40:31.0 (2285547)|VARIABLE_ASSIGNMENT|[714]|isNew|false
14:40:31.0 (2287822)|STATEMENT_EXECUTE|[717]
14:40:31.0 (2291331)|HEAP_ALLOCATE|[717]|Bytes:149
14:40:31.0 (2301304)|HEAP_ALLOCATE|[717]|Bytes:4
14:40:31.0 (2631124)|SOQL_EXECUTE_BEGIN|[717]|Aggregations:0|SELECT Id, Name, Som_Kam__c, Som_KamDetail__c, Som_Description__c, Som_Template__c FROM Som_KamStrategyProfileTopic__c WHERE Som_IsTemplate__c = TRUE
14:40:31.0 (5807773)|SOQL_EXECUTE_END|[717]|Rows:6
14:40:31.0 (5832381)|HEAP_ALLOCATE|[717]|Bytes:28
14:40:31.0 (5845795)|HEAP_ALLOCATE|[717]|Bytes:323
14:40:31.0 (5869952)|HEAP_ALLOCATE|[717]|Bytes:28
14:40:31.0 (5878601)|VARIABLE_SCOPE_BEGIN|[717]|profileTemplates|List<Som_KamStrategyProfileTopic__c>|true|false
14:40:31.0 (5899966)|VARIABLE_ASSIGNMENT|[717]|profileTemplates|{"s":1,"v":"List of size 6 too large to display"}|0x50d0ee8
14:40:31.0 (5903771)|STATEMENT_EXECUTE|[731]
14:40:31.0 (5909476)|HEAP_ALLOCATE|[731]|Bytes:4
14:40:31.0 (5975340)|VARIABLE_SCOPE_BEGIN|[731]|newProfiles|List<Som_KamStrategyProfileTopic__c>|true|false
14:40:31.0 (5984408)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:40:31.0 (5995399)|VARIABLE_ASSIGNMENT|[731]|newProfiles|{"s":1,"v":[]}|0x7d1bfc78
14:40:31.0 (5998698)|STATEMENT_EXECUTE|[733]
14:40:31.0 (6002687)|VARIABLE_SCOPE_BEGIN|[733]|apTemp|Som_Kam__c|true|false
14:40:31.0 (6025567)|VARIABLE_ASSIGNMENT|[733]|apTemp|{"Som_EmailText__c":"Test E-Mail an RH (T (13 more) ...","Som_Year__c":2016,"Id":"a093E000000sCLFQA2","Som_Account__c":"0013E000006KJGeQAO","Som_Kickoff__c":"2016-07-31T00:00:00.000Z"}|0x293810c2
14:40:31.0 (6029256)|STATEMENT_EXECUTE|[735]
14:40:31.0 (6068986)|HEAP_ALLOCATE|[735]|Bytes:8
14:40:31.0 (6093337)|DML_BEGIN|[735]|Op:Upsert|Type:Som_Kam__c|Rows:1
14:40:31.0 (6124384)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
14:40:31.0 (17191643)|CODE_UNIT_STARTED|[EXTERNAL]|01q3E0000004F1q|Som_Kam on Som_Kam trigger event BeforeUpdate for [a093E000000sCLF]
14:40:31.0 (17239645)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
14:40:31.0 (17275601)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
14:40:31.0 (17382426)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:40:31.0 (17396602)|VARIABLE_SCOPE_BEGIN|[14]|this|Som_Kam|true|false
14:40:31.0 (17440711)|VARIABLE_ASSIGNMENT|[14]|this|{}|0x3e3a925f
14:40:31.0 (17488440)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:40:31.0 (17497222)|VARIABLE_SCOPE_BEGIN|[14]|this|Som_Kam|true|false
14:40:31.0 (17511438)|VARIABLE_ASSIGNMENT|[14]|this|{}|0x3e3a925f
14:40:31.0 (17518615)|STATEMENT_EXECUTE|[14]
14:40:31.0 (17521280)|STATEMENT_EXECUTE|[19]
14:40:31.0 (18707329)|HEAP_ALLOCATE|[16]|Bytes:8
14:40:31.0 (18753443)|METHOD_ENTRY|[14]|01p3E0000004aBc|Som_Kam.Som_Kam()
14:40:31.0 (18757289)|STATEMENT_EXECUTE|[14]
14:40:31.0 (18762113)|STATEMENT_EXECUTE|[14]
14:40:31.0 (18768879)|HEAP_ALLOCATE|[16]|Bytes:5
14:40:31.0 (18778970)|METHOD_EXIT|[14]|Som_Kam
14:40:31.0 (18785046)|HEAP_ALLOCATE|[16]|Bytes:44
14:40:31.0 (18924276)|CONSTRUCTOR_ENTRY|[16]|01p3E0000004aBc|<init>(Boolean,Boolean,Boolean,Boolean,Boolean,Boolean,List<SObject>,Map<Id,SObject>,List<SObject>,Map<Id,SObject>)
14:40:31.0 (18960979)|VARIABLE_SCOPE_BEGIN|[16]|this|Som_Kam|true|false
14:40:31.0 (18995008)|VARIABLE_ASSIGNMENT|[16]|this|{}|0x770eb44d
14:40:31.0 (19002544)|VARIABLE_SCOPE_BEGIN|[16]|isAfter|Boolean|false|false
14:40:31.0 (19008241)|VARIABLE_ASSIGNMENT|[16]|isAfter|false
14:40:31.0 (19011791)|VARIABLE_SCOPE_BEGIN|[16]|isBefore|Boolean|false|false
14:40:31.0 (19014673)|VARIABLE_ASSIGNMENT|[16]|isBefore|true
14:40:31.0 (19017633)|VARIABLE_SCOPE_BEGIN|[16]|isDelete|Boolean|false|false
14:40:31.0 (19020094)|VARIABLE_ASSIGNMENT|[16]|isDelete|false
14:40:31.0 (19023061)|VARIABLE_SCOPE_BEGIN|[16]|isInsert|Boolean|false|false
14:40:31.0 (19025537)|VARIABLE_ASSIGNMENT|[16]|isInsert|false
14:40:31.0 (19028802)|VARIABLE_SCOPE_BEGIN|[16]|isUndelete|Boolean|false|false
14:40:31.0 (19031522)|VARIABLE_ASSIGNMENT|[16]|isUndelete|false
14:40:31.0 (19034447)|VARIABLE_SCOPE_BEGIN|[16]|isUpdate|Boolean|false|false
14:40:31.0 (19036865)|VARIABLE_ASSIGNMENT|[16]|isUpdate|true
14:40:31.0 (19039727)|VARIABLE_SCOPE_BEGIN|[16]|lstNewItems|List<SObject>|true|false
14:40:31.0 (19267338)|VARIABLE_ASSIGNMENT|[16]|lstNewItems|{"s":1,"v":[{"LastModifiedDate":"2016-07-20T12:40:25.000Z","IsDeleted":false,"CurrencyIsoCode":"EUR","Som_Account__c":"0013E000006KJGeQAO","Name":"AP_2016-000004","SystemModstamp":"2016-07-20T12:40:25.000Z","Som_EmailText__c":"Test E-Mail an RH (T (13 more) ...","CreatedById":"005D0000002j5oMIAQ","CreatedDate":"2016-07-18T13:08:13.000Z","Som_Year__c":2016,"Id":"a093E000000sCLFQA2","LastModifiedById":"00557000005jeECAAY","Som_Kickoff__c":"2016-07-31T00:00:00.000Z"}]}|0x5088f27
14:40:31.0 (19278791)|VARIABLE_SCOPE_BEGIN|[16]|mapNewItems|Map<Id,SObject>|true|false
14:40:31.0 (19390084)|VARIABLE_ASSIGNMENT|[16]|mapNewItems|{"s":1,"v":{"a093E000000sCLFQA2":{"LastModifiedDate":"2016-07-20T12:40:25.000Z","IsDeleted":false,"CurrencyIsoCode":"EUR","Som_Account__c":"0013E000006KJGeQAO","Name":"AP_2016-000004","SystemModstamp":"2016-07-20T12:40:25.000Z","Som_EmailText__c":"Test E-Mail an RH (T (13 more) ...","CreatedById":"005D0000002j5oMIAQ","CreatedDate":"2016-07-18T13:08:13.000Z","Som_Year__c":2016,"Id":"a093E000000sCLFQA2","LastModifiedById":"00557000005jeECAAY","Som_Kickoff__c":"2016-07-31T00:00:00.000Z"}}}|0x446bd5f
14:40:31.0 (19400475)|VARIABLE_SCOPE_BEGIN|[16]|lstOldItems|List<SObject>|true|false
14:40:31.0 (19544018)|VARIABLE_ASSIGNMENT|[16]|lstOldItems|{"s":1,"v":[{"LastModifiedDate":"2016-07-20T12:40:25.000Z","IsDeleted":false,"CurrencyIsoCode":"EUR","Som_Account__c":"0013E000006KJGeQAO","Name":"AP_2016-000004","SystemModstamp":"2016-07-20T12:40:25.000Z","Som_EmailText__c":"Test E-Mail an RH (T (13 more) ...","CreatedById":"005D0000002j5oMIAQ","CreatedDate":"2016-07-18T13:08:13.000Z","Som_Year__c":2016,"Id":"a093E000000sCLFQA2","LastModifiedById":"00557000005jeECAAY","Som_Kickoff__c":"2016-07-31T00:00:00.000Z"}]}|0x6e847fe2
14:40:31.0 (19554249)|VARIABLE_SCOPE_BEGIN|[16]|mapOldItems|Map<Id,SObject>|true|false
14:40:31.0 (19652246)|VARIABLE_ASSIGNMENT|[16]|mapOldItems|{"s":1,"v":{"a093E000000sCLFQA2":{"LastModifiedDate":"2016-07-20T12:40:25.000Z","IsDeleted":false,"CurrencyIsoCode":"EUR","Som_Account__c":"0013E000006KJGeQAO","Name":"AP_2016-000004","SystemModstamp":"2016-07-20T12:40:25.000Z","Som_EmailText__c":"Test E-Mail an RH (T (13 more) ...","CreatedById":"005D0000002j5oMIAQ","CreatedDate":"2016-07-18T13:08:13.000Z","Som_Year__c":2016,"Id":"a093E000000sCLFQA2","LastModifiedById":"00557000005jeECAAY","Som_Kickoff__c":"2016-07-31T00:00:00.000Z"}}}|0x6c2a02a3
14:40:31.0 (19664100)|HEAP_ALLOCATE|[20]|Bytes:5
14:40:31.0 (19668562)|STATEMENT_EXECUTE|[14]
14:40:31.0 (19671453)|HEAP_ALLOCATE|[20]|Bytes:5
14:40:31.0 (19676425)|STATEMENT_EXECUTE|[20]
14:40:31.0 (19685895)|HEAP_ALLOCATE|[20]|Bytes:41
14:40:31.0 (19692573)|HEAP_ALLOCATE|[20]|Bytes:99
14:40:31.0 (19709663)|METHOD_ENTRY|[7]|01pD0000000IsYO|TriggerController.TriggerController()
14:40:31.0 (19712466)|STATEMENT_EXECUTE|[7]
14:40:31.0 (19715509)|STATEMENT_EXECUTE|[7]
14:40:31.0 (20124865)|SYSTEM_MODE_ENTER|false
14:40:31.0 (20132965)|HEAP_ALLOCATE|[20]|Bytes:5
14:40:31.0 (20140862)|SYSTEM_MODE_EXIT|false
14:40:31.0 (20149205)|METHOD_EXIT|[7]|TriggerController
14:40:31.0 (20166623)|CONSTRUCTOR_ENTRY|[20]|01pD0000000IsYO|<init>(Boolean,Boolean,Boolean,Boolean,Boolean,Boolean,List<SObject>,Map<Id,SObject>,List<SObject>,Map<Id,SObject>)
14:40:31.0 (20278308)|VARIABLE_SCOPE_BEGIN|[68]|this|TriggerController|true|false
14:40:31.0 (20300027)|VARIABLE_ASSIGNMENT|[68]|this|{}|0x770eb44d
14:40:31.0 (20306897)|VARIABLE_SCOPE_BEGIN|[68]|isAfter|Boolean|false|false
14:40:31.0 (20310970)|VARIABLE_ASSIGNMENT|[68]|isAfter|false
14:40:31.0 (20314193)|VARIABLE_SCOPE_BEGIN|[68]|isBefore|Boolean|false|false
14:40:31.0 (20316836)|VARIABLE_ASSIGNMENT|[68]|isBefore|true
14:40:31.0 (20319997)|VARIABLE_SCOPE_BEGIN|[68]|isDelete|Boolean|false|false
14:40:31.0 (20322558)|VARIABLE_ASSIGNMENT|[68]|isDelete|false
14:40:31.0 (20325572)|VARIABLE_SCOPE_BEGIN|[68]|isInsert|Boolean|false|false
14:40:31.0 (20328267)|VARIABLE_ASSIGNMENT|[68]|isInsert|false
14:40:31.0 (20331032)|VARIABLE_SCOPE_BEGIN|[68]|isUndelete|Boolean|false|false
14:40:31.0 (20334089)|VARIABLE_ASSIGNMENT|[68]|isUndelete|false
14:40:31.0 (20337022)|VARIABLE_SCOPE_BEGIN|[68]|isUpdate|Boolean|false|false
14:40:31.0 (20339620)|VARIABLE_ASSIGNMENT|[68]|isUpdate|true
14:40:31.0 (20342564)|VARIABLE_SCOPE_BEGIN|[68]|lstNewItems|List<SObject>|true|false
